,title,bids,err_bids,link,price,weekday,date,err_date,hour,ampm,Description,price_cln,cat
0,1951 Bowman #305 Willie Mays Rookie Card – PSA NM-MT 8,15,0,https://goldin.co/item/1951-bowman-305-willie-mays-rookie-card-psa-nm-mt-83pqup,"$186,000 ",Thu,3/16/2023,0,3:30,AM,No Data,186000,2
1,1958 Topps #285 Frank Robinson – PSA GEM MT 10 – Pop 1,5,0,https://goldin.co/item/1958-topps-285-frank-robinson-psa-gem-mt-10-pop-1xnfq6,"$84,000 ",Thu,3/16/2023,0,3:30,AM,"Graded GEM MT 10 by PSA (30203613). Hall of Famer. This is the lone example confirmed at its stratospheric tier among a total PSA-graded population in this entry numbering nearly 1,950 copies. To regard this card with mere ""admiration"" is to under-appreciate its character. This is one of those exceptional pieces that deserves and demands passion. Many enthusiasts have never been fortunate enough to view such an important card, in such unparalleled condition. Every serious baseball card collection should include a top-quality second-year Topps card of Frank Robinson, but almost none can claim bragging rights to a Gem Mint copy. The offered card does indeed reflect superb Gem Mint condition. It is amazingly free of any of the print defects that are so common in the issue. The pioneering superstar's portrait countenance simply beams, apparently in refined Technicolor. The fantastic graphics delight the eye, and a study in opposites is presented by the intensity of the surrounding elements' hues balanced by the youthful confidence seen in the close-up portrayal. Condition attributes need no embellishment other than the restatement of the phrase ""PSA GEM MT 10."" The corners are effectively pristine, and the card's coloration and projection qualities are simply magnificent. On the reverse, a pure field of grey cardstock acts as a superb canvas for bold, vivid inking. A beyond-spectacular example of one of the great competitor's most beautiful baseball cards. Robinson, a two-time World Series Champion who managed teams and won MVP awards in both leagues, was enshrined at Cooperstown in 1982.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change. ",84000,2
2,1951 Bowman #253 Mickey Mantle Rookie Card - PSA NM 7,13,0,https://goldin.co/item/1951-bowman-253-mickey-mantle-rookie-card-psa-nm-7q4p5o,"$74,400 ",Thu,5/18/2023,0,4:30,AM,"Graded NM 7 by PSA (01728756). Hall of Famer, in his cherished Rookie Card depiction. Among a total of more than 2,500 copies of this piece recorded in PSA's census reporting, fewer than 3 percent have achieved a higher, unqualified tier. Presented is a choice example of Mickey Mantle's ""true"" rookie card. Mantle is still considered by many to be the last true baseball hero. The young outfielder accepted the torch passed by the great DiMaggio, who had similarly followed in the path of Lou Gehrig. The 1951 season was Mantle's first in pinstripes and, despite being sent back down to the minors for more seasoning, Bowman issued this card in that year's final, key series. Bowman's first vision of future greatness takes the form of this mini-artwork, rendered as a horizontal image set against the brightest skies.
In the inevitable comparison to its larger, double-printed rival, this sought-after piece is perpetually undervalued and famously condition-sensitive. And, there always seem to be fewer 1951 Bowman Mantle high number rookies available than there are of the slugger's 1952 Topps counterpart. Most significantly, the offered card is free of print lines, a defect which is typically a hallmark of the 1951 Bowman issue. This specimen is well-centered, and its central image is framed by white, apparently seldom-touched borders. The card's colors are notably bold and bright, with exceptional registration for the issue and very nicely realized flesh tones. All four aspects remain properly shaped and largely free of conspicuous wear. The item's reverse is fully legible. This card delivers a wholly satisfying measure of aesthetic appeal on the basis of its striking hues, superb focus, and, certainly, the instantly recognizable identity of its subject.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",74400,2
3,1952 Topps #311 Mickey Mantle - PSA VG 3,20,0,https://goldin.co/item/1952-topps-311-mickey-mantle-rookie-card-psa-vg-3f9l79,"$50,402 ",Thu,5/18/2023,0,4:30,AM,"Graded VG 3 by PSA (21005962). Hall of Famer. Mickey Mantle is revealed here, in his debut Topps gum card appearance, on one of the most widely cherished pieces in the collectibles industry. This scarce ""High Number"" entry displays splendid coloration in the all-important player image. The subject's background field concedes tiny traces of superficial wear, but, overall, the piece's surface presentation remains impressive. The card's graphic elements (team logo and caption block) are unblemished. The back is unimpaired, and the corners and edges show moderate and uniformly distributed evidence of respectful circulation. Centering is inclined slightly toward the upper-right aspect. This is a very tempting and attractive piece which is ideal for the middle-grade 1952 Topps set that so many enthusiasts aspire to complete. An eye-pleasing copy of a universally treasured Mantle commemorative.",50402,2
4,1967 Topps #581 Tom Seaver Rookie Card - SGC GM 10 - Pop 1,12,0,https://goldin.co/item/1967-topps-rookie-high-581-tom-seaver-rookie-card-sgc-gm-10nvclv,"$73,200 ",Thu,4/27/2023,0,4:30,AM,"Graded 98 GEM 10 (""GM 10"" equivalent) by SGC (2010879-041). Hall of Famer, in his coveted Rookie Card appearance. Among a total of 944 copies of this piece recorded in SGC's census reporting, this is the lone example at its tier with none graded higher. Both of the subjects appearing on this splendid collectible, an item that hails from its issue's perpetually difficult ""High Number"" series, have earned their shares of hobby immortality. Tom Seaver will forever be revered as one of the greatest pitchers of his time, with a career validated by rapid and overwhelmingly endorsed induction into Cooperstown's shrine. And Denehy? He shares the rookie card of Seaver, of course! The offered marvel has refused to succumb to its production's tendency toward misaligned centering, and comes equipped with a respectably sized, bright white border at each marginal aspect. These outer limits also reveal pinpoint corners, and the elements in between—the properly focused photos, the bright graphics, the lustrous gloss—are all praiseworthy in the extreme. A spectacle of a card, boasting a unique, aesthetically powerful presentation.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",73200,2
5,1952 Topps #311 Mickey Mantle - PSA Authentic Altered,21,0,https://goldin.co/item/1952-topps-311-mickey-mantle-psa-authentic-altered-72b64,"$81,600 ",Thu,5/18/2023,0,5:32,AM,"Encapsulated and assessed ""Authentic/Altered"" by PSA (75613797). Hall of Famer, in his first Topps gum card appearance. Mickey Mantle's 1952 Topps card has become one of the cherished symbols of our hobby and is instantly recognized, even by non-collectors. Every fan of the vintage game covets this memento of Mickey Mantle, and no serious baseball card collection from its era can be considered complete without one. The exceptionally deep coloration of this card, especially its familiar aqua-hued background, retains an extraordinary measure of its original glamor. The slugger's bat is an almost luminescent yellow, and the white interlocking ""NY"" on the front of Mantle's cap contrasts sharply against dark navy blue. This example delivers superb centering, a crisp, gratifying aesthetic, and strong freshness of character while conceding ever-so-slight waviness in one or two of its edge cuts. This iconic depiction of the Yankee great retains much of its original power and projects phenomenal eye appeal.",81600,2
6,"2019 Bowman Chrome Prospect Autographs Red Refractors #CPA-JRO Julio Rodriguez Signed Rookie Card (#4/5) – BGS GEM MINT 9.5, Beckett 10",18,0,https://goldin.co/item/2019-bowman-chrome-prospect-autograph-red-refractor-cpa-jro-julio-rodr550im,"$108,000 ",Thu,3/30/2023,0,4:37,AM,"Graded GEM MINT 9.5 by BGS, with Autograph Grade 10 by Beckett (0011328566). Rookie Card. 1st Bowman. No higher-graded example of this piece has been confirmed in Beckett's census reporting. Seattle Mariners wunderkind Julio Rodríguez has contributed a blue ink signature to this Bowman Chrome Prospect Autographs Red Refractor collectible. Rodríguez was the breakout rookie of the 2022 MLB season, posting an incredible .284/28/75 triple crown slash line with 25 stolen bases to lead the Mariners to their first playoff appearance since 2001. The young Dominican was a consensus top-three prospect heading into 2022, and he made good on his potential by earning an All-Star appearance, Silver Slugger, and the American League Rookie of the Year Award in his inaugural MLB campaign. The card's BGS condition report: Centering: 9, Corners: 9.5, Edges: 10, Surface: 9.5. A statement on the card affirms the manufacturer's guarantee of authenticity for the piece's content and serves as the item's COA. The limited-edition piece is serial-numbered ""4/5.""
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",108000,2
7,"2020 Bowman Chrome Sapphire Edition Autographs Padparadscha #BSPA-AV Anthony Volpe Signed Rookie Card (#1/1) - PSA GEM MT 10, PSA/DNA GEM MT 10",29,0,https://goldin.co/item/2020-bowman-chrome-sapphire-edition-autograph-padparadscha-bspa-av-ant5blwe,"$124,800 ",Thu,4/27/2023,0,6:44,AM,"Graded GEM MT 10 by PSA, with Autograph Certified and graded GEM MT 10 by PSA/DNA (48101549). Rookie Card. 1st Bowman. Anthony Volpe, the long-awaited chosen one to assume the mantle left behind by the unflappable Derek Jeter and bring an end to the revolving door at shortstop for the New York Yankees, has contributed a blue ink signature to this wholly unique and eye-catching Bowman Chrome Sapphire Edition Autographs Padparadscha collectible. Volpe made his Major League debut on Opening Day of the 2023 season against the San Francisco Giants, and his youthful exuberance has already made an impact at the plate, in the field, and on the base paths for a Yankees team seeking their first World Series title since 2009. A statement on the card affirms the manufacturer's guarantee of authenticity for the piece's content and serves as the item's COA. The limited-edition piece is serial-numbered ""1/1.""",124800,2
8,1954 Topps #128 Hank Aaron Rookie Card – PSA NM-MT 8,17,0,https://goldin.co/item/1954-topps-128-hank-aaron-rookie-card-psa-nm-mt-8pjsc9,"$39,600 ",Thu,3/16/2023,0,3:30,AM,"Graded NM-MT 8 by PSA (05004820). Hall of Famer. Rookie Card. Among a total of more than 6,300 examples of this piece recorded in PSA's census reporting, fewer than 1 percent have achieved a higher, unqualified grade. Baseball's former home run king, Hank Aaron, appears on this foundational Topps rookie card. An essentially flawless portrait, superb surface gloss, and blazing color are among the most conspicuous hallmarks of this commendable Hank Aaron memento. The obverse's secondary elements—the Braves' team logo, Aaron's black-and-white action photograph, and a background field of bright orange—contribute their own, unblemished character to a satisfying aesthetic. Virtually no wear is discernible on this item's lustrous cardfront, and its reverse is clear and boldly printed. This is an extremely gratifying rookie card offering befitting one of baseball's last universally revered national heroes.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.
Please note that this card is currently at PSA; the piece has been submitted for reholdering.",39600,2
9,1978 Topps #36 Eddie Murray Rookie Card – PSA GEM MT 10,16,0,https://goldin.co/item/1978-topps-36-eddie-murray-rookie-card-psa-gem-mt-10qprnx,"$39,600 ",Thu,3/16/2023,0,3:30,AM,"Graded GEM MT 10 by PSA (42690522). Hall of Famer, in his Rookie Card depiction. Just 18 examples in the hobby have been holdered at this tier—among more than 12,000 candidates encapsulated by PSA! At the time this ""All-Star Rookie"" trophy commemorative was released, future Cooperstown enshrinee Murray had already accomplished 173 of his eventual 3,000-plus career hits. This abundantly challenging condition rarity is a ""must-have"" piece for a highest-quality 500 HR Club collection, too. A phenomenal and truly exemplary collectible.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.
Please note that the card's PSA holder displays minor, peripheral flaws; however, the card inside remains wholly unaffected.",39600,2
