,title,bids,err_bids,link,price,weekday,date,err_date,hour,ampm,Description,cat
0,"2000 Playoff Contenders Championship Ticket Autograph #144 Tom Brady Signed Rookie Card (#006/100) – PSA Authentic, PSA/DNA GEM MT 10",10,0,https://goldin.co/item/2000-playoff-contender-championship-ticket-autograph-144-tom-brady-sigj5rjh,"$114,000 ",Thu,3/30/2023,0,4:30,AM,"Encapsulated and assessed ""Authentic"" by PSA, with Autograph Certified and graded GEM MT 10 by PSA/DNA (52640950). This is one of just eight examples of this piece recorded in any configuration in PSA/DNA's census reporting. Future Hall of Famer Tom Brady has signed this iconic Playoff Contenders Championship Ticket Autograph debut-year collectible in black ink. The Championship Ticket Autograph card is one of Brady's most fiercely coveted rookie cards and is considered a true ""Holy Grail"" of the football collecting specialty. Brady—a seven-time Super Bowl champion—announced his retirement after the 2022 NFL season, ending the greatest career the league has ever seen. A statement on the card affirms the manufacturer's guarantee of authenticity for the piece's content and serves as the item's COA. The limited-edition piece is serial-numbered ""006/100."" The card displays a lightly circulated manner of appearance (with note to a chip at the bottom-left corner) and stands as an exemplary treasure of Brady's NFL career. 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change. ",1
1,1976 Topps #148 Walter Payton Rookie Card – PSA GEM MT 10,23,0,https://goldin.co/item/1976-topps-148-walter-payton-rookie-card-psa-gem-mt-104qd94,"$61,200 ",Thu,3/16/2023,0,3:30,AM,"Graded GEM MT 10 by PSA (63938572). Hall of Famer, in his coveted Rookie Card appearance. Among a total of more than 12,500 copies recorded in PSA's census reporting, fewer than one-half of 1 percent have achieved that grading service's most meritorious evaluation. Walter Payton created a singular pattern of success and sportsmanship that many others have tried to emulate. Unlike some of his competitors, however, with their more modern and better-manufactured key cards, Payton's one and only gum card rookie piece is extremely problematic in terms of condition. Even pack-fresh specimens tend to be haunted by their coarse card stock and haphazard-quality printing. This gem refused to succumb to those tendencies and is a feast for the eyes. Its centering is essentially perfect, its corners are untouched, and Payton's photograph has the highest visual fidelity imaginable. Potentially the worthy cornerstone of any Hall of Fame or Chicago Bears collection, this sparkling Payton rookie is fundamentally unimprovable. A virtually flawless rookie card of the archetypal football superstar.
The Population Report information cited in a product description is accurate at the time a lot is posted for auction, and it is subject to change.",1
2,"2021 Panini National Treasures Rookie Patch Autograph (RPA) Platinum #156 Trevor Lawrence Signed NFL Shield Patch Rookie Card (#1/1) – BGS NM-MT 8, Beckett 10",32,0,https://goldin.co/item/2021-panini-national-treasures-rookie-patch-autograph-rpa-nfl-shield-pa873r,"$264,000 ",Thu,3/30/2023,0,5:44,AM,"Graded NM-MT 8 by BGS, with Autograph Grade 10 by Beckett (0014409729). Rookie Card. Jacksonville Jaguars rising superstar quarterback Trevor Lawrence—the first overall selection in the 2021 NFL Draft—appears on this exceptional Panini National Treasures Rookie Patch Autograph Platinum debut-year collectible. Lawrence has signed this spectacular card in blue ink below a multicolored NFL Shield logo patch. Lawrence enjoyed a fantastic sophomore NFL season in 2022, passing for 4,113 yards and 25 touchdowns against only eight interceptions. Larence led Jacksonville to a historic 27-point comeback in the Wild Card round, defeating Justin Herbert and the Los Angeles Chargers 31-30. The card's BGS condition report: Centering: 9.5, Corners: 9.5, Edges: 8.5, Surface: 7. A statement on the card affirms the manufacturer's guarantee of authenticity for the piece's content and serves as the item's COA. The limited-edition piece is serial-numbered ""1/1.""",1
3,2000 Playoff Contenders Championship Ticket Autograph #144 Tom Brady Signed Rookie Card (#045/100) – PSA NM-MT 8,23,0,https://goldin.co/item/2000-playoff-contenders-championship-ticket-autograph-144-tom-brady-si9l5vh,"$570,000 ",Thu,3/2/2023,0,5:03,AM,"Graded NM-MT 8 by PSA (19778427). Rookie Card. Among the 14 examples of this piece recorded in PSA's census reporting, just one card has achieved a higher grading tier. Seven-time Super Bowl champion Tom Brady stars on this exceptional Playoff Contenders Championship Ticket Autograph debut-year collectible. This is arguably the most important rookie card in the football collecting specialty and a true ""Holy Grail"" of the hobby. Brady has signed the cardfront in bold black ink. A guaranteed future Hall of Famer, Brady announced his retirement from the NFL in early 2023, ending the greatest career his sport has ever seen. Brady retired as the all-time leader in both passing yards (89,214) and touchdowns (649). A statement on the card affirms the manufacturer's guarantee of authenticity for the piece's content and serves as the item's COA. The limited-edition piece is serial-numbered ""045/100."" 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change. ",1
4,"1933 Sport Kings #6 Jim Thorpe, Football - PSA NM-MT 8",18,0,https://goldin.co/item/1933-sport-kings-football-6-jim-thorpe-psa-nm-mt-81e264,"$43,200 ",Thu,5/18/2023,0,5:49,AM,"Graded NM-MT 8 by PSA (09031682). Hall of Famer. Among a total of nearly 400 examples recorded in PSA's census reporting, just five copies have achieved a higher tier. One of its series' most popular subjects is presented with beautifully executed flair on this eye-catching collectible. The brilliance of the piece's colors, sound structural integrity as seen in all four of its corners, and the depth of its reverse-side printing are attributes whose quality also demands acknowledgment. Although he was undeniably worthy of fame as a baseball player and, above all, an Olympian, Goudey elected to specifically honor Thorpe's football prowess in the declared theme of this widely sought-after commemorative.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",1
5,1981 Topps #216 Joe Montana Rookie Card – PSA GEM MT 10,22,0,https://goldin.co/item/1981-topps-216-joe-montana-rookie-card-psa-gem-mt-10t3e4z,"$57,600 ",Thu,3/16/2023,0,3:37,AM,"Graded GEM MT 10 by PSA (23673651). Hall of Famer, in his Rookie Card appearance. Indisputably, one of the 1980s' most coveted debut-year football collectibles! The offered item is a fabulously bright and crisp example highlighting the 49ers' Championship-winning quarterback. Fewer than one-half of 1 percent of this depiction's more than 25,000 contemporaries accepted for validation by PSA have attained the grading service's highest accolades.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",1
6,"1933 Sport Kings #4 Red Grange, Football - PSA NM-MT 8",18,0,https://goldin.co/item/1933-sport-kings-football-4-red-grange-psa-nm-mt-8bm8vi,"$43,201 ",Thu,5/18/2023,0,5:55,AM,"Graded NM-MT 8 by PSA (28191937). Hall of Famer. Among a total of more than 420 examples recorded in PSA's census reporting, just four copies have achieved a higher tier. Here is a delightfully high-quality 1930s football piece! This Goudey Sport Kings depiction of the legendary ""Galloping Ghost"" is top-notch in appearance and rich in historical appeal. Among the finest football trading cards available from an era that yielded very few such items, this collectible is always subject to far greater demand than the available supply can satisfy. The offered card is extra-special by virtue of its high grade. A bright and clean image of Red Grange is surrounded by crisply defined borders on the front, and its reverse displays virtually pack-fresh print character. The card exhibits sharp corners at every aspect, and the piece projects a commendable overall aesthetic.
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",1
7,2000 Bowman Chrome Refractor #236 Tom Brady Rookie Card – SGC GM 10 – Pop 3,28,0,https://goldin.co/item/2000-bowman-chrome-refractor-236-tom-brady-rookie-card-sgc-gm-10bi8j3,"$222,000 ",Thu,3/30/2023,0,5:39,AM," Graded GM 10 by SGC (7307573). Rookie Card. This is one of three examples of this piece recorded at this premium tier in SGC's census reporting with none graded higher. Seven-time Super Bowl champion Tom Brady is the star of this dazzling Bowman Chrome Refractor debut-year collectible. The consensus greatest player in the NFL's storied history, Brady owns the career records for touchdown passes and passing yards, as well as a host of additional records. In 2021—Brady's 22nd professional season—the Tampa Bay Buccaneers quarterback led the NFL in passing yards (5,316) and touchdown passes (43) while earning his 15th Pro Bowl nod. This superb Bowman Chrome Refractor is an exemplary Brady commemorative, and one of the most important rookie cards in any sport. 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",1
8,2000 Bowman Chrome Refractor #236 Tom Brady Rookie Card – PSA MINT 9,15,0,https://goldin.co/item/2000-bowman-chrome-refractor-236-tom-brady-rookie-card-psa-mint-912ft3,"$47,866 ",Thu,3/30/2023,0,4:53,AM,"Graded MINT 9 by PSA (43563297). Rookie Card. Among the 139 examples of this piece recorded in PSA's census reporting, only seven have achieved a higher grade. Seven-time Super Bowl champion Tom Brady is the star of this dazzling Bowman Chrome Refractor debut-year collectible. The consensus greatest player in the NFL's storied history, Brady owns the career records for touchdown passes and passing yards, as well as a host of additional records. In 2021—Brady's 22nd professional season—the Tampa Bay Buccaneers quarterback led the NFL in passing yards (5,316) and touchdown passes (43) while earning his 15th Pro Bowl nod. This superb Bowman Chrome Refractor is an exemplary Brady commemorative, and one of the most important rookie cards in any sport. 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.",1
9,"2017 Panini National Treasures Rookie Patch Autograph (RPA) Black #161 Patrick Mahomes II Signed Patch Rookie Card (#5/5) – BGS MINT 9, Beckett 10 – Pop 4",19,0,https://goldin.co/item/2017-panini-national-treasures-black-161-patrick-mahomes-ii-signed-pattqhf2,"$216,000 ",Thu,3/2/2023,0,5:31,AM,"Graded MINT 9 by BGS, with Autograph Grade 10 by Beckett (0011973190). Rookie Card. No example of this piece recorded in BGS' census reporting has achieved a higher grade. Ultra-prolific quarterback Patrick Mahomes II—the 2018 NFL Most Valuable Player—stars on this premium, low-mintage debut-year Panini National Treasures Rookie Patch Autograph Black collectible. A five-time Pro Bowler, Mahomes has signed the cardfront in blue ink. A multicolored player-worn material patch highlights the cardfront presentation. In 2022, Mahomes led the NFL in both passing yards (5,250) and touchdowns (41) as he delivered Kansas City another AFC title in a thrilling 23-20 win over the Cincinnati Bengals. The card's BGS condition report: Centering: 9.5, Corners: 9.5, Edges: 8.5, Surface: 9.5. A statement on the card affirms the manufacturer's guarantee of authenticity for the piece's content and serves as the item's COA. The limited-edition piece is serial-numbered ""5/5."" 
Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change. ",1
