,title,bids,err_bids,link,price,weekday,date,err_date,hour,ampm,Description,cat
0,"2017-18 UD The Cup Emblems of Endorsement Autograph Relics #EE-WG Wayne Gretzky Signed Game-Used Patch Card (#13/15) – PSA NM-MT 8, PSA/DNA GEM MT 10 – Pop 1",22,0,https://goldin.co/item/2017-18-upper-deck-the-cup-ee-wg-wayne-gretzky-signed-dual-patch-cardokmcg,"$5,580 ",Thu,3/30/2023,0,5:25,AM,No Data,4
1,2016-17 Upper Deck The Cup Rookie Materials #106 Sebastian Aho Relic Rookie Card (#3/3),20,0,https://goldin.co/item/2016-17-upper-deck-the-cup-rookie-materials-106-sebastian-aho-relic-ronagu5,$157 ,Fri,4/21/2023,0,4:24,AM,No Data,4
2,"2011-12 Upper Deck Goodwin Champions Autograph #A-SC Sidney Crosby Signed Card – SGC MT+ 9.5, SGC 10",18,0,https://goldin.co/item/2011-12-upper-deck-goodwin-champions-autograph-a-sc-sidney-crosby-signccr0h,$270 ,Fri,3/24/2023,0,4:15,AM,"Pittsburgh Penguins star Sidney Crosby is the heir to Mario Lemieux in the Steel City; an ultra-talented center equally adept at passing and scoring. A three-time Stanley Cup Finals champion, Crosby has built a Hall of Fame legacy as the most dangerous offensive force of his generation. Crosby's 2005-06 Upper Deck ""The Cup"" collectibles represent modern grails in the hockey collecting specialty, rivaling his Canadian compatriot Wayne Gretzky's 1979-80 O-Pee-Chee rookie card in terms of prestige and importance. With a stack of career accolades as tall as Mount Logan, Crosby is bound for enshrinement in Toronto at the close of his legendary career.",4
3,2015-16 Upper Deck Young Guns Canvas #C211 Connor McDavid Rookie Card – BGS GEM MINT 9.5,30,0,https://goldin.co/item/2015-16-upper-deck-canvas-c211-connor-mcdavid-rookie-card-bgs-gem-mintjl8d0,"$1,100 ",Fri,3/24/2023,0,4:15,AM,"One would be hard-pressed to find a current NHLer who doesn't think of Connor McDavid as the world's premier hockey player. The teenage phenom made the All-Rookie Team in his first campaign with 48 points in 45 games and has led the NHL in scoring in four of his seven seasons. The decorated Oilers center is a two-time Hart Trophy recipient, a three-time Ted Lindsay Award winner, and a five-time NHL All-Star. McDavid boasts blinding speed coupled with a preternatural sense of where the 11 other players are situated on the ice at any given moment. Although still just 26 years of age, it's apparent that McDavid is well on his way to a Hall of Fame career.",4
4,2007-08 Upper Deck Generation Next #GN1 Alexander Ovechkin – PSA MINT 9,5,0,https://goldin.co/item/2007-upper-deck-generation-next-gn1-alexander-ovechkin-psap5o61,$16 ,Fri,3/31/2023,0,4:15,AM,"On Dec. 13, 2022, Washington Capitals star Alex Ovechkin became just the third player in NHL history to reach the vaunted 800 goals milestone. A powerful left winger who possesses a lethal shot, Ovechkin has been the premier offensive force in the NHL since his debut in 2005-06, winning nine Maurice Richard Trophies as the NHL's leading goalscorer. Ovechkin cemented his legacy as an all-time great by leading Washington to a Stanley Cup Finals championship in the 2017-18 season, scoring 3 goals and recording 2 assists as the Capitals defeated the Vegas Golden Knights in a five-game series.",4
5,2012-13 Panini Classics Signatures Autograph #93 Doug Wilson Signed Card – PSA MINT 9,4,0,https://goldin.co/item/2012-panini-classics-signatures-autograph-93-doug-wilson-psaijbfv,$18 ,Fri,4/7/2023,0,4:19,AM,No Data,4
6,2002-03 Pacific Titanium Blue #111 Rick Nash Rookie Card (#187/450) – BGS GEM MINT 9.5 – True Gem – Pop 2,7,0,https://goldin.co/item/2002-03-titanium-blue-111-rick-nash-rookie-card-187-450-bgs-gem-mint-98ffvt,$44 ,Fri,2/24/2023,0,4:15,AM,"Please note that the population report information cited in a product description is accurate at the time a lot is posted for auction and is subject to change.
Please note that the card's Beckett holder displays visible scuffs and scratches; however, the card inside remains wholly unaffected.",4
7,"2017-18 Upper Deck The Cup Signature Materials #SP-JT Jonathan Toews Signed Patch Card (#16/25) - PSA NM-MT 8, PSA/DNA GEM MT 10",34,0,https://goldin.co/item/2017-18-upper-deck-the-cup-sp-jt-jonathan-toews-signed-patch-card-16-2cb4ru,$181 ,Fri,5/5/2023,0,4:15,AM,No Data,4
8,2007-08 Upper Deck The Cup Gold #70 Mike Modano (#22/25) – PSA NM-MT 8,2,0,https://goldin.co/item/2007-upper-deck-the-cup-gold-70-mike-modano-psa-8f2uhm,$8 ,Fri,3/31/2023,0,4:15,AM,No Data,4
9,"2015-16 Upper Deck Contours #131 Connor McDavid Signed Patch Rookie Card (#044/199) – BGS NM-MT+ 8.5, Beckett 10",36,0,https://goldin.co/item/2015-16-upper-deck-contours-131-connor-mcdavid-signed-patch-rookie-carkxvki,"$2,220 ",Fri,3/24/2023,0,4:15,AM,"One would be hard-pressed to find a current NHLer who doesn't think of Connor McDavid as the world's premier hockey player. The teenage phenom made the All-Rookie Team in his first campaign with 48 points in 45 games and has led the NHL in scoring in four of his seven seasons. The decorated Oilers center is a two-time Hart Trophy recipient, a three-time Ted Lindsay Award winner, and a five-time NHL All-Star. McDavid boasts blinding speed coupled with a preternatural sense of where the 11 other players are situated on the ice at any given moment. Although still just 26 years of age, it's apparent that McDavid is well on his way to a Hall of Fame career.",4
